yaw_angle,Time(s),rotor power (W)
270,20226.902301,1629591.66074
270,20226.952301,1624940.24045
270,20227.002301,1646109.99059
270,20227.052301,1694836.03024
270,20227.102301,1689554.66999
270,20227.152301,1684631.35165
270,20227.202301,1654870.85133
270,20227.252301,1830492.02354
270,20227.302301,1781447.3556
270,20227.352301,1711407.0263
270,20227.402301,1654349.87756
270,20227.452301,1604124.8955
270,20227.502301,1645689.06728
270,20227.552301,1683669.98452
270,20227.602301,1710924.04404
270,20227.652301,1679771.99955
270,20227.702301,1640286.08705
270,20227.752301,1533968.71236
270,20227.802301,1622988.81538
270,20227.852301,1553313.79823
270,20227.902301,1498173.27858
270,20227.952301,1478039.64705
270,20228.002301,1459069.96433
270,20228.052301,1445006.13767
270,20228.102301,1422166.8037
270,20228.152301,1421398.46568
270,20228.202301,1421802.34008
270,20228.252301,1452642.80944
270,20228.302301,1440663.75254
270,20228.352301,1516857.33684
270,20228.402301,1459221.24182
270,20228.452301,1470383.53983
270,20228.502301,1495617.2682
270,20228.552301,1454096.68875
270,20228.602301,1419881.67029
270,20228.652301,1436292.00962
270,20228.702301,1430278.67384
270,20228.752301,1404615.46977
270,20228.802301,1402693.33496
270,20228.852301,1412286.29291
270,20228.902301,1388116.2195
270,20228.952301,1493658.23675
270,20229.002301,1504660.94533
270,20229.052301,1597142.04779
270,20229.102301,1666075.20572
270,20229.152301,1691389.44507
270,20229.202301,1688715.63431
270,20229.252301,1681188.19123
270,20229.302301,1626641.87123
270,20229.352301,1568971.28774
270,20229.402301,1487352.38294
270,20229.452301,1437485.62109
270,20229.502301,1579471.61919
270,20229.552301,1551773.27018
270,20229.602301,1531150.68093
270,20229.652301,1475179.35058
270,20229.702301,1481276.77118
270,20229.752301,1562607.12834
270,20229.802301,1599327.94805
270,20229.852301,1569372.75187
270,20229.902301,1505394.68195
270,20229.952301,1451983.54175
270,20230.002301,1366305.85154
270,20230.052301,1427055.81231
270,20230.102301,1406177.62605
270,20230.152301,1455472.56732
270,20230.202301,1440830.47298
270,20230.252301,1434618.95586
270,20230.302301,1417369.36665
270,20230.352301,1425189.17035
270,20230.402301,1448025.98786
270,20230.452301,1502520.68667
270,20230.502301,1518866.81369
270,20230.552301,1501327.98551
270,20230.602301,1611159.99283
270,20230.652301,1558440.1443
270,20230.702301,1505545.07428
270,20230.752301,1534581.27646
270,20230.802301,1520810.42488
270,20230.852301,1528370.69552
270,20230.902301,1493437.34724
270,20230.952301,1439433.3434
270,20231.002301,1388177.11648
270,20231.052301,1395179.74756
270,20231.102301,1385508.00083
270,20231.152301,1359224.48306
270,20231.202301,1491367.41557
270,20231.252301,1471541.44472
270,20231.302301,1453975.47472
270,20231.352301,1420022.89127
270,20231.402301,1413773.80886
270,20231.452301,1461520.47303
270,20231.502301,1531773.35299
270,20231.552301,1579250.63986
270,20231.602301,1591283.59102
270,20231.652301,1550783.40051
270,20231.702301,1453999.20392
270,20231.752301,1533357.66223
270,20231.802301,1488215.81835
270,20231.852301,1492147.30562
270,20231.902301,1455071.82355
270,20231.952301,1451371.13358
270,20232.002301,1488720.05406
270,20232.052301,1543742.70707
270,20232.102301,1524472.91017
270,20232.152301,1446884.59067
270,20232.202301,1401626.79468
270,20232.252301,1384718.6923
270,20232.302301,1471629.92662
270,20232.352301,1401953.77767
270,20232.402301,1378770.50792
270,20232.452301,1354169.10546
270,20232.502301,1378264.10433
270,20232.552301,1363302.45395
270,20232.602301,1395719.61543
270,20232.652301,1399830.23872
270,20232.702301,1427775.64957
270,20232.752301,1462357.16901
270,20232.802301,1475179.40888
270,20232.852301,1638823.56001
270,20232.902301,1577576.25984
270,20232.952301,1510450.63088
270,20233.002301,1505636.37075
270,20233.052301,1542750.77208
270,20233.102301,1609367.33838
270,20233.152301,1563702.09549
270,20233.202301,1463998.04801
270,20233.252301,1449360.9633
270,20233.302301,1464046.05251
270,20233.352301,1451776.85618
270,20233.402301,1417205.43402
270,20233.452301,1497002.20837
270,20233.502301,1459904.9763
270,20233.552301,1460346.97678
270,20233.602301,1441329.42316
270,20233.652301,1428719.28848
270,20233.702301,1459346.48476
270,20233.752301,1512941.81276
270,20233.802301,1575471.21127
270,20233.852301,1537123.20125
270,20233.902301,1463519.45674
270,20233.952301,1332262.82252
270,20234.002301,1408351.95366
270,20234.052301,1433997.17135
270,20234.102301,1504905.98862
270,20234.152301,1490534.21095
270,20234.202301,1445183.27682
270,20234.252301,1460219.88227
270,20234.302301,1483717.07863
270,20234.352301,1530385.32968
270,20234.402301,1528439.46277
270,20234.452301,1555226.00751
270,20234.502301,1543678.99598
270,20234.552301,1502360.2384
270,20234.602301,1564322.44759
270,20234.652301,1508481.264
270,20234.702301,1506521.57777
270,20234.752301,1508527.07228
270,20234.802301,1476997.29939
270,20234.852301,1458973.09095
270,20234.902301,1486075.73186
270,20234.952301,1505078.65026
270,20235.002301,1483163.1091
270,20235.052301,1458431.17907
270,20235.102301,1465344.31376
270,20235.152301,1592960.89697
270,20235.202301,1526080.88159
270,20235.252301,1484198.58043
270,20235.302301,1512636.40977
270,20235.352301,1542611.84508
270,20235.402301,1520798.83908
270,20235.452301,1463759.5853
270,20235.502301,1362153.35196
270,20235.552301,1289839.37788
270,20235.602301,1340629.91158
270,20235.652301,1400379.63561
270,20235.702301,1395889.79603
270,20235.752301,1472316.22909
270,20235.802301,1425500.56912
270,20235.852301,1467840.34957
270,20235.902301,1463158.86042
270,20235.952301,1498612.27231
270,20236.002301,1511180.30795
270,20236.052301,1527976.54976
270,20236.102301,1527672.85054
270,20236.152301,1497455.98908
270,20236.202301,1459946.4587
270,20236.252301,1387421.99936
270,20236.302301,1481272.33769
270,20236.352301,1483636.46423
270,20236.402301,1466717.52694
270,20236.452301,1469979.56962
270,20236.502301,1513654.3976
270,20236.552301,1576870.3462
270,20236.602301,1607885.63565
270,20236.652301,1557066.74685
270,20236.702301,1566346.15096
270,20236.752301,1627028.57533
270,20236.802301,1617394.41688
270,20236.852301,1713826.15849
270,20236.902301,1669562.43282
270,20236.952301,1613951.3489
270,20237.002301,1615685.28833
270,20237.052301,1669939.09349
270,20237.102301,1632103.08273
270,20237.152301,1674993.68732
270,20237.202301,1655813.70874
270,20237.252301,1633770.85396
270,20237.302301,1658229.02499
270,20237.352301,1667960.849
270,20237.402301,1611643.87173
270,20237.452301,1648172.58163
270,20237.502301,1563114.94322
270,20237.552301,1566585.607
270,20237.602301,1549535.73035
270,20237.652301,1509596.55176
270,20237.702301,1442638.37536
270,20237.752301,1405383.05532
270,20237.802301,1396387.07583
270,20237.852301,1383802.72311
270,20237.902301,1421056.80924
270,20237.952301,1387168.9015
270,20238.002301,1468734.12931
270,20238.052301,1392825.04724
270,20238.102301,1364821.2455
270,20238.152301,1390394.46864
270,20238.202301,1408411.03673
270,20238.252301,1480332.02346
270,20238.302301,1521367.55131
270,20238.352301,1498549.2276
270,20238.402301,1484142.82191
270,20238.452301,1490273.16425
270,20238.502301,1499897.01656
270,20238.552301,1478896.99285
270,20238.602301,1572867.5434
270,20238.652301,1500687.81478
270,20238.702301,1471560.24191
270,20238.752301,1450535.67644
270,20238.802301,1482109.99078
270,20238.852301,1543551.28548
270,20238.902301,1591608.13334
270,20238.952301,1603911.3777
270,20239.002301,1573758.66909
270,20239.052301,1555693.49097
270,20239.102301,1563681.44459
270,20239.152301,1697214.63843
270,20239.202301,1645164.89719
270,20239.252301,1638038.43606
270,20239.302301,1661714.6705
270,20239.352301,1691302.12869
270,20239.402301,1745035.80429
270,20239.452301,1753023.3679
270,20239.502301,1749747.99485
270,20239.552301,1737031.61053
270,20239.602301,1762813.81762
270,20239.652301,1679778.09564
270,20239.702301,1577967.42962
270,20239.752301,1592409.81574
270,20239.802301,1518257.40115
270,20239.852301,1538169.15361
270,20239.902301,1522339.94015
270,20239.952301,1480552.25923
270,20240.002301,1488716.25773
270,20240.052301,1558759.29853
270,20240.102301,1600288.5568
270,20240.152301,1620126.99957
270,20240.202301,1590093.96173
270,20240.252301,1536091.51115
270,20240.302301,1567665.97151
270,20240.352301,1461521.7625
270,20240.402301,1396938.91672
270,20240.452301,1353589.12342
270,20240.502301,1392573.78225
270,20240.552301,1475058.30976
270,20240.602301,1560251.12846
270,20240.652301,1592398.41742
270,20240.702301,1616733.65548
270,20240.752301,1653741.25724
270,20240.802301,1628912.55219
270,20240.852301,1755534.36386
270,20240.902301,1648846.22563
270,20240.952301,1583156.69172
270,20241.002301,1598668.97272
270,20241.052301,1616075.21864
270,20241.102301,1648928.31223
270,20241.152301,1674016.67341
270,20241.202301,1641476.54365
270,20241.252301,1600060.99615
270,20241.302301,1624755.4408
270,20241.352301,1659933.14454
270,20241.402301,1627194.88448
270,20241.452301,1634950.64309
270,20241.502301,1597711.0745
270,20241.552301,1683915.36343
270,20241.602301,1718043.36977
270,20241.652301,1741950.67211
270,20241.702301,1750044.78506
270,20241.752301,1763787.75424
270,20241.802301,1756939.09289
270,20241.852301,1752781.62246
270,20241.902301,1750178.52678
